timestamp_unix,timestamp_iso,participant_full_id,activity_class,missing_value_reason
1703489940000,2023-12-25T07:39:00Z,288-1-1-111,generic,
1703490000000,2023-12-25T07:40:00Z,288-1-1-111,generic,
1703490060000,2023-12-25T07:41:00Z,288-1-1-111,generic,
1703490120000,2023-12-25T07:42:00Z,288-1-1-111,generic,
1703490180000,2023-12-25T07:43:00Z,288-1-1-111,generic,
1703490240000,2023-12-25T07:44:00Z,288-1-1-111,generic,
1703490300000,2023-12-25T07:45:00Z,288-1-1-111,generic,
1703490360000,2023-12-25T07:46:00Z,288-1-1-111,generic,
1703490420000,2023-12-25T07:47:00Z,288-1-1-111,generic,
1703490480000,2023-12-25T07:48:00Z,288-1-1-111,generic,
1703490540000,2023-12-25T07:49:00Z,288-1-1-111,generic,
1703490600000,2023-12-25T07:50:00Z,288-1-1-111,generic,
1703490660000,2023-12-25T07:51:00Z,288-1-1-111,generic,
1703490720000,2023-12-25T07:52:00Z,288-1-1-111,generic,
1703490780000,2023-12-25T07:53:00Z,288-1-1-111,generic,
1703490840000,2023-12-25T07:54:00Z,288-1-1-111,generic,
1703490900000,2023-12-25T07:55:00Z,288-1-1-111,generic,
1703490960000,2023-12-25T07:56:00Z,288-1-1-111,generic,
1703491020000,2023-12-25T07:57:00Z,288-1-1-111,generic,
1703491080000,2023-12-25T07:58:00Z,288-1-1-111,generic,
1703491140000,2023-12-25T07:59:00Z,288-1-1-111,generic,
1703491200000,2023-12-25T08:00:00Z,288-1-1-111,generic,
1703491260000,2023-12-25T08:01:00Z,288-1-1-111,generic,
1703491320000,2023-12-25T08:02:00Z,288-1-1-111,generic,
1703491380000,2023-12-25T08:03:00Z,288-1-1-111,still,
1703491440000,2023-12-25T08:04:00Z,288-1-1-111,generic,
1703491500000,2023-12-25T08:05:00Z,288-1-1-111,generic,
1703491560000,2023-12-25T08:06:00Z,288-1-1-111,generic,
1703491620000,2023-12-25T08:07:00Z,288-1-1-111,generic,
1703491680000,2023-12-25T08:08:00Z,288-1-1-111,generic,
1703491740000,2023-12-25T08:09:00Z,288-1-1-111,generic,
1703491800000,2023-12-25T08:10:00Z,288-1-1-111,generic,
1703491860000,2023-12-25T08:11:00Z,288-1-1-111,generic,
1703491920000,2023-12-25T08:12:00Z,288-1-1-111,generic,
1703491980000,2023-12-25T08:13:00Z,288-1-1-111,generic,
1703492040000,2023-12-25T08:14:00Z,288-1-1-111,generic,
1703492100000,2023-12-25T08:15:00Z,288-1-1-111,generic,
1703492160000,2023-12-25T08:16:00Z,288-1-1-111,generic,
1703492220000,2023-12-25T08:17:00Z,288-1-1-111,generic,
1703492280000,2023-12-25T08:18:00Z,288-1-1-111,generic,
1703492340000,2023-12-25T08:19:00Z,288-1-1-111,generic,
1703492400000,2023-12-25T08:20:00Z,288-1-1-111,generic,
1703492460000,2023-12-25T08:21:00Z,288-1-1-111,generic,
1703492520000,2023-12-25T08:22:00Z,288-1-1-111,generic,
1703492580000,2023-12-25T08:23:00Z,288-1-1-111,generic,
1703492640000,2023-12-25T08:24:00Z,288-1-1-111,generic,
1703492700000,2023-12-25T08:25:00Z,288-1-1-111,generic,
1703492760000,2023-12-25T08:26:00Z,288-1-1-111,generic,
1703492820000,2023-12-25T08:27:00Z,288-1-1-111,generic,
1703492880000,2023-12-25T08:28:00Z,288-1-1-111,generic,
1703492940000,2023-12-25T08:29:00Z,288-1-1-111,generic,
1703493000000,2023-12-25T08:30:00Z,288-1-1-111,generic,
1703493060000,2023-12-25T08:31:00Z,288-1-1-111,generic,
1703493120000,2023-12-25T08:32:00Z,288-1-1-111,generic,
1703493180000,2023-12-25T08:33:00Z,288-1-1-111,generic,
1703493240000,2023-12-25T08:34:00Z,288-1-1-111,generic,
1703493300000,2023-12-25T08:35:00Z,288-1-1-111,generic,
1703493360000,2023-12-25T08:36:00Z,288-1-1-111,still,
1703493420000,2023-12-25T08:37:00Z,288-1-1-111,generic,
1703493480000,2023-12-25T08:38:00Z,288-1-1-111,generic,
1703493540000,2023-12-25T08:39:00Z,288-1-1-111,generic,
1703493600000,2023-12-25T08:40:00Z,288-1-1-111,generic,
1703493660000,2023-12-25T08:41:00Z,288-1-1-111,generic,
1703493720000,2023-12-25T08:42:00Z,288-1-1-111,still,
